label, neighbor, wall area
5,507,13.0178
5,560,38.2635
5,565,18.6673
5,566,8.84619
5,574,12.364
11,467,25.2028
11,474,28.6244
11,481,10.7604
11,485,23.6924
11,564,14.2175
12,27,12.4853
12,529,15.864
12,533,8.16421
12,572,12.682
14,15,14.3891
14,21,20.6033
14,529,14.0637
14,578,16.9853
15,14,14.3891
15,16,12.5453
15,507,14.9497
15,513,27.4379
15,575,5.53553
15,578,19.1673
16,15,12.5453
16,48,12.7678
16,50,20.5815
16,104,10.6951
16,122,22.4454
16,513,24.4013
20,21,39.1025
20,43,13.7774
20,46,14.7736
20,48,30.6983
21,14,20.6033
21,20,39.1025
21,22,17.0815
21,43,13.0743
21,529,31.2102
22,21,17.0815
22,27,11.7678
22,39,8.96751
22,40,27.8995
22,43,5.60355
22,529,13.7604
27,12,12.4853
27,22,11.7678
27,28,21.5201
27,40,26.2405
27,533,15.4602
27,581,13.6301
27,582,27.5563
28,27,21.5201
28,40,38.4171
28,318,29.8788
28,581,14.6446
28,584,26.0557
28,605,23.7353
30,31,15.7959
30,32,34.799
30,317,37.2886
30,321,11.7959
30,329,28.9099
30,605,18.8388
31,30,15.7959
31,32,16.9069
31,329,15.0104
31,339,10.6391
31,340,10.0888
32,30,34.799
32,31,16.9069
32,67,11.1313
32,73,17.0104
32,607,24.6421
37,40,17.6338
37,605,25.2674
37,607,26.4265
37,610,13.0123
37,611,12.109
39,22,8.96751
39,40,11.2353
39,43,18.1507
39,611,20.0616
40,22,27.8995
40,27,26.2405
40,28,38.4171
40,37,17.6338
40,39,11.2353
40,605,20.502
43,20,13.7774
43,21,13.0743
43,22,5.60355
43,39,18.1507
43,611,14.2186
46,20,14.7736
46,48,22.2648
46,611,7.22487
48,16,12.7678
48,20,30.6983
48,46,22.2648
48,53,17.3211
48,56,11.3817
50,16,20.5815
50,52,32.3921
50,122,30.3744
50,123,25.3995
50,642,13.9853
52,50,32.3921
52,53,18.0637
52,128,17.6924
52,129,7.44975
53,48,17.3211
53,52,18.0637
53,56,13.5282
53,129,22.5459
53,131,10.2426
56,48,11.3817
56,53,13.5282
56,82,10.0418
56,131,5.38909
56,135,30.1744
56,611,10.2782
56,612,29.2274
61,66,18.0104
61,67,24.0397
61,607,8.73129
61,610,12.7249
65,66,9.22487
65,78,10.5178
65,81,18.0208
66,61,18.0104
66,65,9.22487
66,67,12.0888
66,78,13.4424
66,610,2.62132
67,32,11.1313
67,61,24.0397
67,66,12.0888
67,76,27.2979
67,77,11.1146
67,78,42.5135
67,607,40.3124
73,32,17.0104
73,76,9.1531
73,306,20.8561
73,339,18.4246
73,341,16.4246
73,344,21.9808
76,67,27.2979
76,73,9.1531
76,77,12.3601
77,67,11.1146
77,76,12.3601
77,78,26.5815
77,79,12.5711
77,80,22.4779
77,302,19.4173
77,306,25.2738
78,65,10.5178
78,66,13.4424
78,67,42.5135
78,77,26.5815
78,79,31.549
78,81,14.2279
79,77,12.5711
79,78,31.549
79,80,16.8033
79,616,36.8345
80,77,22.4779
80,79,16.8033
80,302,23.2886
80,616,12.4602
80,618,11.5104
81,65,18.0208
81,78,14.2279
81,259,21.0888
81,612,12.7256
81,615,8.46751
82,56,10.0418
82,135,11.225
82,612,18.6511
92,93,17.9926
92,98,24.8298
92,489,20.0403
92,490,15.8817
92,514,28.8394
92,551,28.5322
93,92,17.9926
93,95,9.73528
93,97,20.867
93,98,19.4853
93,514,23.9957
95,93,9.73528
95,96,20.0386
95,97,14.864
96,95,20.0386
96,97,16.8462
96,114,23.6348
96,115,17.6673
96,147,16.0711
97,93,20.867
97,95,14.864
97,96,16.8462
97,98,21.1066
97,109,17.8388
97,114,19.7279
98,92,24.8298
98,93,19.4853
98,97,21.1066
98,101,20.4932
98,109,13.5459
98,551,9.90275
101,98,20.4932
101,103,8.37938
101,551,14.8672
101,553,19.9525
103,101,8.37938
103,104,8.11518
103,107,35.7617
103,109,14.1495
103,504,13.5884
103,512,20.2802
103,553,30.3291
104,16,10.6951
104,103,8.11518
104,107,6.18554
104,512,20.8383
104,513,10.1134
107,103,35.7617
107,104,6.18554
107,109,14.0637
107,122,26.4099
109,97,17.8388
109,98,13.5459
109,103,14.1495
109,107,14.0637
109,111,9.47487
109,112,26.0312
109,122,12.114
111,109,9.47487
111,112,13.5533
111,113,14.9173
111,114,12.614
112,109,26.0312
112,111,13.5533
112,113,13.7249
112,121,21.2959
112,122,14.9173
113,111,14.9173
113,112,13.7249
113,114,20.4779
113,121,19.3388
114,96,23.6348
114,97,19.7279
114,111,12.614
114,113,20.4779
114,115,12.7604
114,641,13.7102
115,96,17.6673
115,114,12.7604
115,147,25.0208
115,149,9.01041
121,112,21.2959
121,113,19.3388
121,122,11.6391
121,123,21.0815
121,125,27.8566
122,16,22.4454
122,50,30.3744
122,107,26.4099
122,109,12.114
122,112,14.9173
122,121,11.6391
122,123,23.4957
123,50,25.3995
123,121,21.0815
123,122,23.4957
125,121,27.8566
125,144,16.4497
125,145,36.4987
125,641,27.5741
