label, neighbor, wall area
1,3,12.6317
1,10,22.1673
1,11,13.4926
3,1,12.6317
3,760,8.12132
6,423,19.3388
6,424,8.82843
6,833,11.5282
9,10,19.0282
9,11,19.9246
9,26,9.76683
9,833,17.5459
10,1,22.1673
10,9,19.0282
10,11,14.1066
10,16,10.7249
10,840,18.3114
11,1,13.4926
11,9,19.9246
11,10,14.1066
11,760,20.9424
11,833,9.19975
16,10,10.7249
16,20,15.4327
16,22,3.22487
20,16,15.4327
20,21,27.2583
20,22,13.6611
20,83,7.14093
20,441,10.0597
21,20,27.2583
21,22,22.5924
21,57,11.556
21,83,16.5969
21,84,7.62132
21,87,25.4407
22,16,3.22487
22,20,13.6611
22,21,22.5924
22,56,13.3554
22,57,14.2207
22,840,9.60473
22,841,15.6454
26,9,9.76683
26,42,12.9929
26,45,28.1407
26,704,10.557
26,833,16.7782
28,29,14.4825
28,424,19.8744
28,704,7.97037
28,709,21.0758
29,28,14.4825
29,35,17.041
29,705,4.07843
30,424,10.5355
30,452,11.9675
30,705,9.11396
35,29,17.041
35,459,26.6623
35,460,17.3462
35,702,29.857
35,708,21.1567
38,39,7.82843
38,59,18.5815
38,60,25.9602
38,475,18.3211
38,476,9.96751
38,701,9.3033
39,38,7.82843
39,40,25.2886
39,59,16.435
39,701,26.8713
39,702,8.69975
40,39,25.2886
40,42,8.67462
40,43,18.8462
40,59,23.2886
40,702,22.6495
42,26,12.9929
42,40,8.67462
42,43,21.6066
42,44,9.46751
42,45,22.8598
42,704,16.882
43,40,18.8462
43,42,21.6066
43,44,9.36396
43,59,7.07843
43,63,8.40685
44,42,9.46751
44,43,9.36396
44,45,13.8211
44,69,10.9497
45,26,28.1407
45,42,22.8598
45,44,13.8211
45,47,15.1051
45,69,14.1746
47,45,15.1051
47,52,12.0917
52,47,12.0917
52,69,7.24264
52,70,20.1244
52,711,14.253
52,840,7.547
52,841,14.7194
56,22,13.3554
56,57,28.7674
56,58,11.6981
56,97,11.5981
56,841,13.5642
57,21,11.556
57,22,14.2207
57,56,28.7674
57,87,8.38357
57,89,14.2861
57,97,18.7688
58,56,11.6981
58,97,15.5799
58,98,21.2327
58,711,22.3958
58,712,7.90685
59,38,18.5815
59,39,16.435
59,40,23.2886
59,43,7.07843
59,60,20.4424
59,61,26.8388
59,63,4.22487
59,76,9.47487
60,38,25.9602
60,59,20.4424
60,61,11.7782
60,476,13.9749
60,719,18.4779
60,846,33.9706
61,59,26.8388
61,60,11.7782
61,75,9.46751
61,76,23.0741
63,43,8.40685
63,59,4.22487
63,76,26.5888
69,44,10.9497
69,45,14.1746
69,52,7.24264
69,70,8.74264
69,73,13.1391
69,712,12.7426
70,52,20.1244
70,69,8.74264
70,711,11.7855
73,69,13.1391
73,76,9.65685
73,77,15.9497
73,99,6.41421
73,712,28.4203
75,61,9.46751
75,76,27.4173
75,77,11.1213
75,490,27.1066
75,846,12.6317
76,59,9.47487
76,61,23.0741
76,63,26.5888
76,73,9.65685
76,75,27.4173
77,73,15.9497
77,75,11.1213
77,99,17.0815
77,100,16.1924
77,486,19.114
83,20,7.14093
83,21,16.5969
83,84,22.0386
83,93,9.46751
83,115,15.8891
83,821,8.90685
84,21,7.62132
84,83,22.0386
84,93,13.6213
87,21,25.4407
87,57,8.38357
87,89,7.65521
89,57,14.2861
89,87,7.65521
89,96,28.266
89,97,19.2599
93,83,9.46751
93,84,13.6213
93,96,8.43198
93,115,17.7426
93,121,22.9602
96,89,28.266
96,93,8.43198
96,97,12.2342
96,113,22.1543
96,114,25.3099
96,124,10.1603
97,56,11.5981
97,57,18.7688
97,58,15.5799
97,89,19.2599
97,96,12.2342
97,98,13.0293
97,107,25.2744
97,113,10.8462
98,58,21.2327
98,97,13.0293
98,99,7.56321
98,104,21.682
98,107,12.7045
99,73,6.41421
99,77,17.0815
99,98,7.56321
99,100,25.1254
99,103,22.0845
99,104,11.0326
99,712,27.9203
100,77,16.1924
100,99,25.1254
100,102,17.2959
100,103,11.7846
100,486,12.4926
100,502,18.5338
100,717,17.1495
102,100,17.2959
102,172,14.3211
102,173,12.9606
102,502,13.511
103,99,22.0845
103,100,11.7846
103,104,14.6794
103,171,15.7604
103,173,12.84
104,98,21.682
104,99,11.0326
104,103,14.6794
104,107,5.57174
107,97,25.2744
107,98,12.7045
107,104,5.57174
107,171,14.7353
107,776,18.9424
113,96,22.1543
113,97,10.8462
113,114,28.3141
113,776,13.114
114,96,25.3099
114,113,28.3141
114,124,11.7365
114,128,9.37132
114,134,12.864
115,83,15.8891
115,93,17.7426
115,117,8.06066
115,121,12.8891
115,821,29.117
115,822,10.0104
117,115,8.06066
117,120,15.1997
117,822,20.8566
120,117,15.1997
120,121,14.003
120,138,13.9246
120,139,11.2175
120,314,8.63173
120,755,14.2855
120,822,16.1066
121,93,22.9602
121,115,12.8891
121,120,14.003
121,124,12.3033
121,755,24.6421
124,96,10.1603
124,114,11.7365
124,121,12.3033
124,129,14.4665
124,755,8.15685
128,114,9.37132
128,129,12.373
128,134,12.7959
128,136,10.4675
129,124,14.4665
129,128,12.373
129,756,24.3136
131,132,17.3388
131,180,16.5208
131,181,8.81066
131,183,14.2782
