label, neighbor, wall area
1,2,21.4602
1,3,12.6317
1,4,15.9497
1,5,21.1704
1,26,8.41492
2,1,21.4602
2,3,20.1924
2,134,13.253
3,1,12.6317
3,2,20.1924
3,4,14.3995
3,134,14.8388
3,137,12.5355
4,1,15.9497
4,3,14.3995
4,26,32.6392
4,137,14.5711
4,140,18.9692
5,1,21.1704
5,7,11.5711
5,26,24.2505
5,733,24.7028
7,5,11.5711
7,8,11.682
7,26,8.51041
7,574,22.4957
7,733,18.3284
8,7,11.682
8,11,10.6213
8,26,21.8492
11,8,10.6213
11,14,6.94975
11,16,7.53553
11,26,8.07107
11,27,12.1924
11,573,18.6421
11,579,11.1317
14,11,6.94975
14,23,15.3014
14,24,10.3272
16,11,7.53553
16,579,18.0208
16,603,6.15685
21,22,19.9602
21,23,16.4853
21,31,9.38909
21,603,13.682
22,21,19.9602
22,23,12.7175
22,30,14.0459
22,31,9.68198
23,14,15.3014
23,21,16.4853
23,22,12.7175
23,24,28.128
23,29,21.9998
23,30,21.7239
24,14,10.3272
24,23,28.128
24,27,18.1536
24,29,9.22393
24,143,9.53389
26,1,8.41492
26,4,32.6392
26,5,24.2505
26,7,8.51041
26,8,21.8492
26,11,8.07107
26,27,22.3513
26,140,8.17208
27,11,12.1924
27,24,18.1536
27,26,22.3513
27,140,18.484
27,143,13.0427
29,23,21.9998
29,24,9.22393
29,30,12.8194
29,46,15.673
29,143,11.1033
29,147,9.36396
30,22,14.0459
30,23,21.7239
30,29,12.8194
30,31,21.253
30,39,14.0258
30,46,18.7749
31,21,9.38909
31,22,9.68198
31,30,21.253
31,32,19.3891
31,39,14.1924
31,285,16.9602
31,600,14.7175
32,31,19.3891
32,33,12.682
32,39,11.0355
32,285,7.21751
32,286,14.2782
33,32,12.682
33,34,11.682
33,283,30.3033
33,756,27.935
33,760,19.4853
34,33,11.682
34,52,22.2886
34,55,20.2279
34,58,12.8388
34,60,22.1673
34,317,10.5355
34,760,28.3492
39,30,14.0258
39,31,14.1924
39,32,11.0355
39,47,17.5014
45,46,22.9149
45,47,12.6459
45,107,11.6498
45,147,8.94975
46,29,15.673
46,30,18.7749
46,45,22.9149
46,147,28.4706
47,39,17.5014
47,45,12.6459
47,48,25.6479
47,107,20.3951
47,756,17.4602
48,47,25.6479
48,52,10.2329
48,107,17.6898
48,756,15.0459
52,34,22.2886
52,48,10.2329
52,55,10.9749
52,77,7.76777
52,79,15.2239
52,82,9.02324
55,34,20.2279
55,52,10.9749
55,77,0.697145
58,34,12.8388
58,59,33.1154
58,60,8.97487
58,76,22.6148
58,77,12.6569
58,814,14.8142
59,58,33.1154
59,66,19.8332
59,68,8.80616
59,814,24.5069
60,34,22.1673
60,58,8.97487
60,278,8.97487
60,280,9.09619
60,317,10.6569
66,59,19.8332
66,67,11.8194
66,68,19.9924
67,66,11.8194
67,68,30.0263
67,69,7.91421
67,278,16.5894
67,762,11.4659
68,59,8.80616
68,66,19.9924
68,67,30.0263
68,69,20.6673
68,71,16.364
68,73,39.2811
69,67,7.91421
69,68,20.6673
69,71,16.5208
69,761,27.4099
71,68,16.364
71,69,16.5208
71,72,31.9966
71,73,11.5969
71,348,35.5312
71,349,17.8388
71,359,22.6834
72,71,31.9966
72,73,19.2433
72,90,23.5272
72,366,12.2555
73,68,39.2811
73,71,11.5969
73,72,19.2433
73,90,33.3182
73,814,16.3261
76,58,22.6148
76,77,11.0872
76,82,33.7279
76,83,8.24264
76,814,14.2126
77,52,7.76777
77,55,0.697145
77,58,12.6569
77,76,11.0872
77,82,13.1569
79,52,15.2239
79,106,21.4853
79,107,17.0362
82,52,9.02324
82,76,33.7279
82,77,13.1569
82,83,14.5355
82,105,15.1569
82,106,19.5711
83,76,8.24264
83,82,14.5355
83,84,15.8284
83,101,24.3492
84,83,15.8284
84,95,29.3059
84,97,10.5661
84,100,22.0782
84,101,14.0711
84,814,24.1388
90,72,23.5272
90,73,33.3182
90,95,20.3492
90,366,21.1673
90,715,12.471
95,84,29.3059
95,90,20.3492
95,97,26.5311
95,371,17.5711
95,711,26.9099
95,715,6.56066
97,84,10.5661
97,95,26.5311
97,99,19.791
97,100,29.7379
97,711,17.3033
99,97,19.791
99,100,16.2543
99,130,14.8201
99,131,17.4043
99,417,18.3962
100,84,22.0782
