label, neighbor, wall area
479759,479761,43.5312
479759,480396,27.7279
479761,479759,43.5312
479761,479831,23.5815
479761,480396,25.6599
479761,480500,38.8848
479764,479836,17.685
479764,479843,25.5992
479764,480500,22.503
479776,479778,30.185
479776,479825,45.3345
479776,479843,16.9424
479776,479844,9.01777
479776,480424,27.435
479778,479776,30.185
479778,479784,17.5711
479778,479824,19.8137
479778,479825,16.6924
479784,479778,17.5711
479784,479793,33.9832
479784,479823,12.8643
479784,479824,21.1599
479784,480528,15.9294
479793,479784,33.9832
479793,479823,23.4229
479793,480477,33.1623
479793,480528,17.9179
479799,480363,29.8137
479801,479802,35.0208
479802,479801,35.0208
479802,479870,19.1066
479802,480535,26.185
479802,480539,14.8033
479813,479814,22.7175
479813,479815,5.12132
479813,479864,16.9424
479813,480477,56.5876
479814,479813,22.7175
479814,479815,30.253
479814,479857,19.685
479814,479864,31.4173
479815,479813,5.12132
479815,479814,30.253
479815,479856,8.32025
479815,479857,9.18198
479815,480477,15.0962
479823,479784,12.8643
479823,479793,23.4229
479823,479824,50.9883
479823,479853,11.8713
479823,479856,35.0205
479824,479778,19.8137
479824,479784,21.1599
479824,479823,50.9883
479824,479825,43.4099
479824,479847,18.4957
479825,479776,45.3345
479825,479778,16.6924
479825,479824,43.4099
479825,479844,14.8211
479825,479847,9.46751
479827,479905,12.7175
479827,479906,12.6746
479827,479943,4.43198
479827,480378,16.682
479827,480379,26.9277
479827,480389,12.8891
479831,479761,23.5815
479831,479905,15.4246
479831,479906,13.0355
479831,480378,27.0637
479831,480397,18.9779
479831,480500,15.9173
479831,480502,28.9454
479835,479836,27.2708
479835,479909,22.1673
479835,479910,13.5711
479835,479911,9.41421
479835,480502,27.2102
479836,479764,17.685
479836,479835,27.2708
479836,479843,17.3566
479836,480500,22.8137
479836,480502,8.44975
479843,479764,25.5992
479843,479776,16.9424
479843,479836,17.3566
479843,479844,26.9602
479844,479776,9.01777
479844,479825,14.8211
479844,479843,26.9602
479844,479847,23.503
479844,479849,15.0784
479844,479854,17.7353
479844,479911,19.3492
479847,479824,18.4957
479847,479825,9.46751
479847,479844,23.503
479847,479849,8.86396
479849,479844,15.0784
479849,479847,8.86396
479849,479853,8.97487
479849,479854,26.6421
479853,479823,11.8713
479853,479849,8.97487
479853,479854,19.8033
479853,479855,22.4912
479853,479856,19.2727
479854,479844,17.7353
479854,479849,26.6421
479854,479853,19.8033
479854,479855,12.8211
479854,479921,28.2886
479854,480370,30.7028
479855,479853,22.4912
479855,479854,12.8211
479855,479856,16.4076
479855,479857,25.0123
479855,480369,7.31066
479855,480370,28.8202
479855,480518,15.1651
479856,479815,8.32025
479856,479823,35.0205
479856,479853,19.2727
479856,479855,16.4076
479856,479857,38.3782
479857,479814,19.685
479857,479815,9.18198
479857,479855,25.0123
479857,479856,38.3782
479857,480369,31.3315
479864,479813,16.9424
479864,479814,31.4173
479864,479868,22.4246
479864,480362,29.9602
479864,480368,25.8137
479866,480346,29.685
479866,480368,33.6599
479866,480369,1.10355
479868,479864,22.4246
479868,479869,27.3597
479868,479870,10.8891
479868,480346,17.5355
479868,480362,15.2102
479869,479868,27.3597
479869,479870,13.0282
479869,479872,38.2959
479869,479876,10.3713
479869,479880,24.6244
479869,479895,5.70711
479869,480346,41.4381
479869,480347,13.4246
479870,479802,19.1066
479870,479868,10.8891
479870,479869,13.0282
479870,479872,4.47487
479870,480363,4.18198
479870,480535,40.9025
479872,479869,38.2959
479872,479870,4.47487
479872,480535,12.8211
479876,479869,10.3713
479876,479880,28.7353
479876,480538,25.3995
479876,480540,18.2457
479876,480547,14.3891
479880,479869,24.6244
479880,479876,28.7353
