label, neighbor, wall area
940701,940704,4.84619
940701,940709,18.6421
940701,940726,10.2426
940701,940730,12.7604
940701,941353,12.614
940701,941362,17.7353
940704,940701,4.84619
940704,940707,23.185
940704,940709,14.8033
940704,941302,24.7457
940704,941306,12.6569
940704,941307,10.6997
940707,940704,23.185
940707,940710,11.6997
940707,940712,12.864
940707,940713,18.503
940707,941307,8.0533
940707,941351,14.6746
940709,940701,18.6421
940709,940704,14.8033
940709,941351,16.4424
940709,941353,13.0459
940710,940707,11.6997
940710,940713,9.65685
940712,940707,12.864
940713,940707,18.503
940713,940710,9.65685
940713,940718,30.0386
940713,941351,29.5992
940718,940713,30.0386
940718,940719,18.6673
940718,940721,12.614
940719,940718,18.6673
940719,940720,18.8566
940719,940721,10.5784
940719,940725,8.96751
940720,940719,18.8566
940720,940725,15.3817
940720,941425,7.95711
940721,940718,12.614
940721,940719,10.5784
940721,940722,27.8137
940721,940725,22.3566
940721,941357,8.78553
940722,940721,27.8137
940722,941354,16.4675
940722,941356,7.91421
940722,941357,9.21751
940725,940719,8.96751
940725,940720,15.3817
940725,940721,22.3566
940725,940764,8.11921
940725,941425,19.8555
940726,940701,10.2426
940726,940730,13.2604
940726,941302,9.74264
940726,941303,9.12132
940730,940701,12.7604
940730,940726,13.2604
940730,940731,21.3744
940730,941362,18.4675
940731,940730,21.3744
940731,940738,13.682
940731,941211,22.8492
940731,941314,16.9853
940738,940731,13.682
940738,940740,8.22487
940738,940741,11.9069
940738,940742,13.9675
940738,941211,11.5711
940738,941212,14.3462
940740,940738,8.22487
940740,940743,8.41421
940740,941364,17.3315
940740,941365,13.1924
940741,940738,11.9069
940741,940742,11.8284
940741,940743,9.65685
940741,940746,21.4853
940742,940738,13.9675
940742,940741,11.8284
940742,940746,15.6495
940742,941154,13.2782
940742,941212,12.1317
940743,940740,8.41421
940743,940741,9.65685
940743,941365,10.5178
940743,941372,8.82107
940746,940741,21.4853
940746,940742,15.6495
940746,941153,24.0135
940746,941154,5
940746,941366,11.3388
940746,941373,11.432
940754,940775,19.5711
940754,941356,17.753
940754,941362,5.49264
940754,941364,19.2959
940761,940764,9.12058
940761,940777,9.82107
940761,941425,25.8465
940764,940725,8.11921
940764,940761,9.12058
940764,940770,16.5807
940764,940780,5.73294
940770,940764,16.5807
940770,940771,23.2332
940770,940772,17.321
940770,940780,14.6798
940770,940784,12.5104
940771,940770,23.2332
940771,940772,18.8965
940771,940773,10.44
940771,941357,12.3211
940772,940770,17.321
940772,940771,18.8965
940772,940773,23.6239
940772,940784,14.7175
940772,940800,22.1066
940772,940805,12.5185
940773,940771,10.44
940773,940772,23.6239
940773,940805,15.4168
940773,941359,14.1381
940773,941361,13.423
940773,941429,13.305
940775,940754,19.5711
940775,941361,11.0784
940775,941364,10.6213
940777,940761,9.82107
940777,940780,13.2353
940777,940781,23.5386
940777,941347,14.4675
940780,940764,5.73294
