sample name,r,p-value
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S1_time series (MTs)_7,0.02903,0.51638
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S1_time series (MTs)_8,-0.00656,0.50535
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S7_time series (MTs)_1,-0.06205,0.49068
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S7_time series (MTs)_2,0.08634,0.53878
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S7_time series (MTs)_3,0.05222,0.52773
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S7_time series (MTs)_4,0.07099,0.53385
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S7_time series (MTs)_5,-0.09234,0.48088
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S7_time series (MTs)_6,0.07666,0.53564
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S7_time series (MTs)_7,0.06219,0.53099
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S7_time series (MTs)_8,-0.02355,0.50318
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S8_timeseries (MTs)_1,-0.01222,0.50396
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S8_timeseries (MTs)_2,0.00782,0.51017
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S8_timeseries (MTs)_3,-0.12186,0.47
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S8_timeseries (MTs)_4,-0.20456,0.44451
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S8_timeseries (MTs)_5,0.03447,0.51843
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S8_timeseries (MTs)_6,-0.02389,0.50034
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S8_timeseries (MTs)_7,-0.10334,0.47573
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S8_timeseries (MTs)_8,-0.10994,0.47368
group,mean,sd
WT,0.02084,0.15101
clasp,-0.04321,0.10327
ktn,-0.03555,0.07736
WT vs clasp with p-value of 0.0522038300587555
WT vs ktn with p-value of 0.0797804611303663
