sample name,r,p-value
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S1_time series (MTs)_7,0.09775,0.53289
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S1_time series (MTs)_8,0.05148,0.74303
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S7_time series (MTs)_1,-0.29005,0.11347
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S7_time series (MTs)_2,0.16852,0.36482
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S7_time series (MTs)_3,0.11304,0.54489
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S7_time series (MTs)_4,0.17942,0.33416
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S7_time series (MTs)_5,-0.178,0.33806
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S7_time series (MTs)_6,0.11357,0.54299
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S7_time series (MTs)_7,0.06488,0.72876
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S7_time series (MTs)_8,-0.05293,0.77735
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S8_timeseries (MTs)_1,-0.05159,0.74872
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S8_timeseries (MTs)_2,-0.00058,0.99711
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S8_timeseries (MTs)_3,-0.2489,0.11658
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S8_timeseries (MTs)_4,-0.39439,0.01072
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S8_timeseries (MTs)_5,0.12348,0.4418
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S8_timeseries (MTs)_6,-0.02098,0.89642
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S8_timeseries (MTs)_7,-0.30717,0.05075
20190225 ktn1-2 LTI6b TUA5 2h timelapse 48h S8_timeseries (MTs)_8,-0.29978,0.05688
group,mean,sd
WT,0.00607,0.31138
clasp,-0.10418,0.25868
ktn,-0.08509,0.17225
WT vs clasp with p-value of 0.1378852148864882
WT vs ktn with p-value of 0.17619370930076575
